,precision,recall,f1-score,support
Negative,0.8492110370432875,0.80512,0.8265779639439859,12500.0
Positive,0.8147387634040612,0.85704,0.8353542048422941,12500.0
accuracy,0.83108,0.83108,0.83108,0.83108
macro avg,0.8319749002236743,0.83108,0.8309660843931399,25000.0
weighted avg,0.8319749002236744,0.83108,0.8309660843931399,25000.0
